site_id,sheet,collected,counted,completed,elapsed_s,method,outcome,note
biblio-naturalsciences-be-rbins-publications,벨기에완료,500,387,False,1205.7,count_crawl,site_timeout,external_timeout_kill:lower_bound
bj-admin-ch-bj,Switzerland Departments,41,0,False,1205.8,count_crawl,fetch_fail,external_timeout_kill:lower_bound
bmi-gv-at-114,오스트리아완료,76,42,True,86.5,count_crawl,ok,stealth_ok=1 stealth_fail=0 fallback=0
bmimi-gv-at-themen,오스트리아완료,18,0,True,11.6,count_crawl,zero_parsed,caps_neutralized:SAFETY_PAGE_CAP=200->10000000 | stealth_ok=3 stealth_fail=0 fallback=0
bmf-gv-at-ministerium,오스트리아완료,36,3,True,199.7,count_crawl,ok,stealth_ok=1 stealth_fail=0 fallback=0
bmbfsfj-bund-de-bmbfsfj,Germany Ministries,502,226,True,851.4,count_crawl,ok,stealth_ok=249 stealth_fail=0 fallback=0
bjerknes-uib-no-en,Norway Research Centers,214,68,False,1205.8,count_crawl,site_timeout,external_timeout_kill:lower_bound
bmluk-gv-at-service,오스트리아완료,315,272,True,3.2,count_crawl,ok,stealth_ok=1 stealth_fail=0 fallback=0
bmas-de-de,Germany Ministries,454,326,False,1205.8,count_crawl,site_timeout,external_timeout_kill:lower_bound
bmleh-de-en,독일완료,26,16,True,233.3,count_crawl,ok,caps_neutralized:_MAX_PAGES=200->10000000;_MAX_WALL=1500->10000000 | stealth_ok=17 stealth_fail=0 fallback=0
bmlv-gv-at-wissen-forschung,오스트리아완료,18,18,True,99.5,count_crawl,ok,stealth_ok=37 stealth_fail=0 fallback=0
bmv-de-en,독일완료,11,0,True,85.6,count_crawl,zero_parsed,caps_neutralized:_MAX_PAGES=200->10000000 | stealth_ok=5 stealth_fail=0 fallback=0
bmwkms-gv-at-themen,오스트리아완료,41,17,True,2.0,count_crawl,ok,stealth_ok=1 stealth_fail=0 fallback=0
bmwsb-bund-de-de,독일완료,20,20,True,181.3,count_crawl,ok,caps_neutralized:MAX_PAGES=200->10000000 | stealth_ok=22 stealth_fail=0 fallback=0
bmwet-gv-at-services,오스트리아완료,89,87,True,354.3,count_crawl,ok,stealth_ok=92 stealth_fail=0 fallback=0
bnf-fr-fr,French Public Institutions,488,0,True,5.4,count_crawl,fetch_fail,stealth_ok=1 stealth_fail=0 fallback=0
bmz-de-de,Germany Ministries,6,6,True,509.2,count_crawl,ok,stealth_ok=93 stealth_fail=0 fallback=0
bmftr-bund-de-siteglobals,독일완료,197,144,False,1205.6,count_crawl,site_timeout,external_timeout_kill:lower_bound
bmvg-de-en,Germany Ministries,20,20,True,920.5,count_crawl,ok,stealth_ok=24 stealth_fail=164 fallback=164
bmj-gv-at-ministerium,오스트리아완료,149,51,False,1205.5,count_crawl,site_timeout,external_timeout_kill:lower_bound
boverket-se-en,스웨덴 완료,9,9,True,24.7,count_crawl,ok,stealth_ok=10 stealth_fail=0 fallback=0
bmleh-de-siteglobals,독일완료,200,97,False,1205.6,count_crawl,site_timeout,external_timeout_kill:lower_bound
broadbentinstitute-ca-research,Canadian Research Centers,81,82,True,213.7,count_crawl,ok,stealth_ok=83 stealth_fail=0 fallback=0
bordbia-ie-about,Irish Research Centers,20,0,True,547.3,count_crawl,zero_parsed,stealth_ok=2 stealth_fail=0 fallback=0
budget-canada-ca-home-accueil-enhtml,Canada Ministries,17,0,True,6.2,count_crawl,fetch_fail,stealth_ok=3 stealth_fail=0 fallback=0
bok-or-kr-portal,한국완료,430,507,False,1205.6,count_crawl,site_timeout,external_timeout_kill:lower_bound
bundesfinanzministerium-de-web,Germany Ministries,112,60,True,559.7,count_crawl,ok,caps_neutralized:_MAX_PAGES=200->10000000 | stealth_ok=80 stealth_fail=0 fallback=0
bra-se-english,스웨덴 완료,306,305,True,992.7,count_crawl,ok,stealth_ok=337 stealth_fail=0 fallback=0
bundesumweltministerium-de-en,Germany Ministries,7,0,True,8.3,count_crawl,zero_parsed,stealth_ok=3 stealth_fail=0 fallback=0
book-ioj-go-kr-library,한국완료,500,545,False,1205.6,count_crawl,site_timeout,external_timeout_kill:lower_bound
brgm-fr-fr,French Research Institutes,234,223,False,1205.6,count_crawl,site_timeout,external_timeout_kill:lower_bound
business-sweden-com-about-us,스웨덴 완료,94,94,True,257.9,count_crawl,ok,stealth_ok=102 stealth_fail=0 fallback=0
