site_id,site_name,status,category,reason,collected
english-www-gov-cn-archive,Custom: english-www-gov-cn-archive,된다,,,506
enpc-hal-science-search,Custom: enpc-hal-science-search,된다,,,741
ens-hal-science-search,Custom: ens-hal-science-search,된다,,,18340
ens-lyon-fr-lecole,Custom: ens-lyon-fr-lecole,된다,,,154
ens-lyon-hal-science-search,Custom: ens-lyon-hal-science-search,된다,,,1343
enscp-hal-science-search,Custom: enscp-hal-science-search,된다,,,3517
enssib-hal-science-search,Custom: enssib-hal-science-search,된다,,,12
environment-govt-nz-acts-and-regulations,Custom: environment-govt-nz-acts-and-regulations,된다,,,315
environment-govt-nz-publications,Custom: environment-govt-nz-publications,된다,,,249
environment-govt-nz-what-you-can-do,Custom: environment-govt-nz-what-you-can-do,된다,,,58
envt-hal-science-search,Custom: envt-hal-science-search,된다,,,1063
epa-ie-news-releases,Custom: epa-ie-news-releases,된다,,,120
eprints-imtlucca-it-cgi,Custom: eprints-imtlucca-it-cgi,된다,,,1461
eprints-soton-ac-uk-view,Custom: eprints-soton-ac-uk-view,된다,,,259
eprr-lanl-gov,Custom: eprr-lanl-gov,안된다,수리(코드),사이트는 정상응답인데 파싱 0 — 셀렉터/방식 코드 수리 필요,367
espci-hal-science-search,Custom: espci-hal-science-search,된다,,,22
esri-ie-publications,Custom: esri-ie-publications,된다,,,531
esteri-it-it,Custom: esteri-it-it,된다,,,5533
etera-ee-browse,Custom: etera-ee-browse,된다,,,100403
ethniccommunities-govt-nz-resources,Custom: ethniccommunities-govt-nz-resources,안된다,IP차단,"우리 IP 차단(403/WAF) — 클라이언트 egress에서 재확인 필요, 코드문제 아님",85
ethz-ch-de,Custom: ethz-ch-de,된다,,,203
etis-ee-portal,Custom: etis-ee-portal,된다,,,138
exteriores-gob-es-en,Custom: exteriores-gob-es-en,된다,,,55
fafo-no-en,Custom: fafo-no-en,된다,,,322
fair-healthdata-be-search,Custom: fair-healthdata-be-search,된다,,,10
federalregister-gov-documents,Custom: federalregister-gov-documents,된다,,,5957
fhi-no-en,Custom: fhi-no-en,된다,,,255
fi-se-en,Custom: fi-se-en,된다,,,122
fibl-org-en,Custom: fibl-org-en,안된다,점검필요,"과거 수집데이터 있음, 일시적/셀렉터 의심 — 점검 필요",539
finance-ni-gov-uk-publications,Custom: finance-ni-gov-uk-publications,된다,,,336
flore-unifi-it,Custom: flore-unifi-it,된다,,,14038
fm-dk-udgivelser,Custom: fm-dk-udgivelser,된다,,,100
fmi-ch-research,Custom: fmi-ch-research,된다,,,818
fmn-dk-da,Custom: fmn-dk-da,된다,,,848
forest-go-kr-kfsweb,Custom: forest-go-kr-kfsweb,된다,,,931
forskningsradet-no-om-forskningsradet,Custom: forskningsradet-no-om-forskningsradet,된다,,,356
