site_id,site_name,evidence,collected
fss-or-kr-fss,Custom: fss-or-kr-fss,ok(건강검진),500
ftc-go-kr-www,Custom: ftc-go-kr-www,ok(건강검진),694
futureneurocentre-ie-our-research,Custom: futureneurocentre-ie-our-research,ok(건강검진),455
ga-gov-au-data-pubs,Custom: ga-gov-au-data-pubs,ok(건강검진),2243
garda-ie-en,Custom: garda-ie-en,정밀검증 확정,94
gb-go-kr-sub,Custom: gb-go-kr-sub,ok(건강검진),406
gcsp-ch-publications,Custom: gcsp-ch-publications,ok(건강검진),176
genome-gov-about-nhgri,Custom: genome-gov-about-nhgri,ok(건강검진),42
genomecanada-ca-about,Custom: genomecanada-ca-about,정밀검증 확정,50
geoportal-statistics-gov-uk-search,Custom: geoportal-statistics-gov-uk-search,ok(건강검진),346
gi-re-kr-home,Custom: gi-re-kr-home,ok(건강검진),452
gichd-org-publications-resourc,Custom: gichd-org-publications-resourc,ok(건강검진),266
github-com-orgs,Custom: github-com-orgs,ok(건강검진),91
gnews-gg-go-kr-briefing,Custom: gnews-gg-go-kr-briefing,ok(건강검진),500
gnewsonline-it-category,Custom: gnewsonline-it-category,ok(건강검진),343
go-griffith-ie-browse,Custom: go-griffith-ie-browse,ok(건강검진),1111
gob-mx-agricultura,gob.mx Archivo de Prensa — Agriculture,신규제작(검증됨),729
gob-mx-bienestar,gob.mx Archivo de Prensa — Welfare,신규제작(검증됨),729
gob-mx-buengobierno,gob.mx Archivo de Prensa — Good governance,신규제작(검증됨),771
gob-mx-defensa,gob.mx Archivo de Prensa — Defense,신규제작(검증됨),756
gob-mx-mujeres,gob.mx Archivo de Prensa — Women,신규제작(검증됨),270
gob-mx-salud,gob.mx Archivo de Prensa — Health,신규제작(검증됨),765
gob-mx-se,gob.mx Archivo de Prensa — Economy,신규제작(검증됨),762
gob-mx-sectur,gob.mx Archivo de Prensa — Tourism,신규제작(검증됨),765
gob-mx-sedatu,gob.mx Archivo de Prensa — Territorial development,신규제작(검증됨),756
gob-mx-segob,gob.mx Archivo de Prensa — Interior,신규제작(검증됨),747
gob-mx-semar,gob.mx Archivo de Prensa — Navy,신규제작(검증됨),783
gob-mx-semarnat,gob.mx Archivo de Prensa — Environment and Natural Resources,신규제작(검증됨),774
gob-mx-sep,gob.mx Archivo de Prensa — Public Education,신규제작(검증됨),774
gob-mx-shcp,gob.mx Archivo de Prensa — Finance and Public Credit,신규제작(검증됨),762
gob-mx-sict,gob.mx Archivo de Prensa — Communications and Transportation,신규제작(검증됨),747
gob-mx-sre,gob.mx Archivo de Prensa — Foreign Affairs,신규제작(검증됨),774
gob-mx-sspc,gob.mx Archivo de Prensa — Security and Citizen Protection,신규제작(검증됨),773
gob-mx-stps,gob.mx Archivo de Prensa — Labor and Social Security,신규제작(검증됨),748
gov-gr-search,Custom: gov-gr-search,ok(건강검진),489
gov-ie-en,Custom: gov-ie-en,ok(건강검진),780
gov-il-collectors,gov.il — Israeli Ministry News & Publications,ok(건강검진),708
gov-scot-publications,Custom: gov-scot-publications,ok(건강검진),1024
gov-scot-statistics-and-resea,Custom: gov-scot-statistics-and-resea,ok(건강검진),353
gov-uk-search,Custom: gov-uk-search,ok(건강검진),862
gov-wales-publications,Custom: gov-wales-publications,ok(건강검진),155
government-se-publications,Government Offices of Sweden — Publications,ok(건강검진),465
graduateinstitute-ch-library,Custom: graduateinstitute-ch-library,ok(건강검진),398
gri-re-kr-web,Custom: gri-re-kr-web,ok(건강검진),516
gwangju-go-kr-boardlistdo,Custom: gwangju-go-kr-boardlistdo,ok(건강검진),500
gyeongnam-go-kr-board,Custom: gyeongnam-go-kr-board,ok(건강검진),190
hal-science-afd,Custom: hal-science-afd,ok(건강검진),59
hal-science-ign-ensg,Custom: hal-science-ign-ensg,ok(건강검진),3288
harcresearch-org-news,Custom: harcresearch-org-news,ok(건강검진),240
harcresearch-org-research,Custom: harcresearch-org-research,ok(건강검진),41
hatvp-fr-actualites-et-public,Custom: hatvp-fr-actualites-et-public,ok(건강검진),57
hautconseilclimat-fr-ressources-pedagogiq,Custom: hautconseilclimat-fr-ressources-pedagogiq,ok(건강검진),234
hcsp-fr-explorecgi,Custom: hcsp-fr-explorecgi,ok(건강검진),37
hea-ie-resources,Custom: hea-ie-resources,정밀검증 확정,221
health-gov-au-publications,"Department of Health, Disability and Ageing — Publications",ok(건강검진),749
health-govt-nz-publications,Ministry of Health NZ — Publications,ok(건강검진),306
health-ni-gov-uk-news,Custom: health-ni-gov-uk-news,ok(건강검진),137
health-ni-gov-uk-publications,Custom: health-ni-gov-uk-publications,ok(건강검진),503
hec-edu-en,Custom: hec-edu-en,ok(건강검진),16
hec-hal-science-search,Custom: hec-hal-science-search,ok(건강검진),313
helios-eie-gr-helios,Custom: helios-eie-gr-helios,ok(건강검진),500
hfml-felix-nl-en,Custom: hfml-felix-nl-en,ok(건강검진),62
hhs-gov-guidance,Custom: hhs-gov-guidance,ok(건강검진),267
hi-no-en,Custom: hi-no-en,ok(건강검진),119
home-cern-news,Custom: home-cern-news,ok(건강검진),809
home-treasury-gov-about,Custom: home-treasury-gov-about,ok(건강검진),12
homeaffairs-gov-au-sitesearch,Custom: homeaffairs-gov-au-sitesearch,ok(건강검진),1308
hrb-ie-publications,Custom: hrb-ie-publications,ok(건강검진),187
hrbopenresearch-org,HRB Open Research,ok(건강검진),437
hud-govt-nz-documents,Custom: hud-govt-nz-documents,ok(건강검진),148
hud-govt-nz-stats-and-insights,Custom: hud-govt-nz-stats-and-insights,ok(건강검진),1334
humanrights-go-kr-base,Custom: humanrights-go-kr-base,ok(건강검진),450
icn-artem-com-en,Custom: icn-artem-com-en,ok(건강검진),6
icn-hal-science-search,Custom: icn-hal-science-search,ok(건강검진),133
